id,region,year,quarter,balance,lst_pmnt
274,КРАСНОЯРСКИЙ КРАЙ,2020,2020Q4,4318450.82,534577.74
275,КРАСНОЯРСКИЙ КРАЙ,2021,2021Q1,12402544.16,404267.13
276,КРАСНОЯРСКИЙ КРАЙ,2021,2021Q2,3850604.88,113849.58
277,КРАСНОЯРСКИЙ КРАЙ,2021,2021Q3,3923908.5,150668.22
278,КРАСНОЯРСКИЙ КРАЙ,2021,2021Q4,3550390.42,99705.36
279,КРАСНОЯРСКИЙ КРАЙ,2022,2022Q1,6116223.14,154904.86000000002
280,КРАСНОЯРСКИЙ КРАЙ,2022,2022Q2,6059556.91,308455.29
281,КРАСНОЯРСКИЙ КРАЙ,2022,2022Q3,3841624.4200000004,200230.74
282,КРЫМ РЕСП,2018,2018Q3,2686.03,243.9
283,КРЫМ РЕСП,2020,2020Q4,1112.73,26.61
284,КРЫМ РЕСП,2021,2021Q4,79465.47,0.0
285,КУРГАНСКАЯ ОБЛ,2018,2018Q1,88724.77,1327.53
286,КУРГАНСКАЯ ОБЛ,2018,2018Q2,64742.22,1860.6
287,КУРГАНСКАЯ ОБЛ,2018,2018Q3,175976.42,2959.17
288,КУРГАНСКАЯ ОБЛ,2019,2019Q1,39027.59,2270.94
289,КУРГАНСКАЯ ОБЛ,2019,2019Q2,109688.26000000001,4152.66
290,КУРГАНСКАЯ ОБЛ,2019,2019Q4,904.85,0.09
291,КУРГАНСКАЯ ОБЛ,2020,2020Q4,79934.62,26417.95
292,КУРГАНСКАЯ ОБЛ,2021,2021Q1,1730918.32,25506.73
293,КУРГАНСКАЯ ОБЛ,2021,2021Q3,319420.7,4612.68
294,КУРГАНСКАЯ ОБЛ,2021,2021Q4,265094.1,2941.36
295,КУРГАНСКАЯ ОБЛ,2022,2022Q1,85258.74,1179.87
296,КУРГАНСКАЯ ОБЛ,2022,2022Q2,521631.63999999996,13860.56
297,КУРСКАЯ ОБЛ,2018,2018Q1,41473.46,1460.17
298,КУРСКАЯ ОБЛ,2018,2018Q2,24405.199999999997,1429.91
299,КУРСКАЯ ОБЛ,2018,2018Q3,38582.44,0.08
300,КУРСКАЯ ОБЛ,2018,2018Q4,17897.83,551.7
301,КУРСКАЯ ОБЛ,2019,2019Q1,204466.11000000002,2899.99
302,КУРСКАЯ ОБЛ,2019,2019Q3,78746.44,1292.39
303,КУРСКАЯ ОБЛ,2020,2020Q4,269956.73,6666.66
304,КУРСКАЯ ОБЛ,2021,2021Q1,356351.87,5864.53
305,КУРСКАЯ ОБЛ,2021,2021Q2,168008.55,5676.21
306,КУРСКАЯ ОБЛ,2021,2021Q4,3166866.87,33761.28
307,КУРСКАЯ ОБЛ,2022,2022Q1,150393.36,1237.68
308,ЛЕНИНГРАДСКАЯ ОБЛ,2018,2018Q1,403995.31,11962.53
309,ЛЕНИНГРАДСКАЯ ОБЛ,2018,2018Q2,840334.66,8554.43
310,ЛЕНИНГРАДСКАЯ ОБЛ,2018,2018Q3,840949.93,13178.9
311,ЛЕНИНГРАДСКАЯ ОБЛ,2018,2018Q4,646146.4500000001,9228.34
312,ЛЕНИНГРАДСКАЯ ОБЛ,2019,2019Q1,126222.42,1379.38
313,ЛЕНИНГРАДСКАЯ ОБЛ,2019,2019Q4,210008.38,975.0
314,ЛЕНИНГРАДСКАЯ ОБЛ,2020,2020Q1,191446.63999999998,9018.03
315,ЛЕНИНГРАДСКАЯ ОБЛ,2020,2020Q4,489267.69,21983.920000000002
316,ЛЕНИНГРАДСКАЯ ОБЛ,2021,2021Q1,1324355.6099999999,101640.76000000001
317,ЛЕНИНГРАДСКАЯ ОБЛ,2021,2021Q2,709020.81,17780.82
